,city,population,violent_crime,murder,rape,robbery,assault,property_crime,burglary,larceny,gta,arson
0,Aberdeen,16194,120,0,9,28,83,326,60,254,12,2
1,Annapolis,39277,252,4,11,67,170,924,98,734,92,15
2,Baltimore,597239,11101,348,324,4856,5573,25748,5414,16395,3939,108
3,Bel Air,10031,21,0,2,5,14,175,8,167,0,0
4,Berlin,4862,3,0,1,0,2,67,6,61,0,0
5,Berwyn Heights,3278,7,0,0,6,1,64,7,49,8,0
6,Bladensburg,9476,59,3,3,18,35,308,17,221,70,0
7,Brentwood,3494,15,0,1,7,7,51,7,27,17,0
8,Brunswick,6426,15,0,0,3,12,124,18,104,2,0
9,Cambridge,12264,119,2,10,20,87,659,138,507,14,5
10,Capitol Heights,4551,19,1,1,10,7,60,7,37,16,0
11,Centreville,4882,4,0,2,0,2,39,6,32,1,1
12,Chestertown,5027,13,0,1,6,6,71,17,52,2,1
13,Cheverly,6482,24,0,0,14,10,124,15,94,15,0
14,Chevy Chase Village,2073,0,0,0,0,0,40,11,27,2,0
15,Cottage City,1363,2,0,0,1,1,26,4,17,5,0
16,Crisfield,2554,3,1,0,0,2,11,2,9,0,1
17,Cumberland,19321,151,0,9,33,109,869,216,627,26,5
18,Delmar,3248,12,0,0,3,9,58,6,50,2,0
19,Denton,4504,11,0,1,4,6,156,19,135,2,1
20,Easton,16523,49,1,8,10,30,332,29,297,6,0
21,Edmonston,1499,1,0,0,0,1,29,3,16,10,0
22,Elkton,15662,151,0,11,39,101,1039,109,877,53,0
23,Fairmount Heights,1533,10,3,0,5,2,42,11,23,8,0
24,Federalsburg,2652,14,1,2,3,8,67,15,49,3,0
25,Forest Heights,2583,9,2,0,4,3,24,2,11,11,0
26,Frederick,73030,296,2,37,54,203,1364,199,1112,53,11
27,Fruitland,5346,15,0,2,0,13,228,17,208,3,0
28,Glenarden,6234,4,0,1,0,3,54,4,42,8,0
29,Greenbelt,23417,110,1,3,41,65,726,63,588,75,0
30,Greensboro,1874,3,0,0,0,3,46,12,32,2,0
31,Hagerstown,40258,213,3,22,81,107,960,239,613,108,26
32,Hampstead,6397,7,0,0,0,7,31,12,19,0,2
33,Hancock,1539,0,0,0,0,0,6,0,5,1,0
34,Havre de Grace,13890,36,0,3,7,26,165,19,145,1,0
35,Hurlock,2013,2,0,0,0,2,81,6,68,7,0
36,Hyattsville,18331,85,4,3,53,25,1112,54,996,62,0
37,Landover Hills,1656,9,1,0,6,2,77,3,64,10,0
38,La Plata,9538,47,0,0,9,38,316,20,285,11,2
39,Laurel,25814,123,1,8,51,63,887,69,739,79,0
40,Luke,61,0,0,0,0,0,0,0,0,0,0
41,Manchester,4858,0,0,0,0,0,11,1,10,0,0
42,Morningside,1296,9,0,1,5,3,27,1,25,1,0
43,Mount Airy,9472,5,0,0,0,5,115,15,96,4,0
44,Mount Rainier,8143,33,1,1,19,12,255,24,199,32,0
45,New Carrollton,13036,33,0,2,10,21,165,19,118,28,0
46,North East,3639,12,0,0,6,6,85,17,63,5,0
47,Oakland,1816,2,0,0,0,2,114,3,111,0,0
48,Ocean City,6905,91,0,5,18,68,720,94,615,11,0
49,Ocean Pines,12264,8,0,0,0,8,72,22,49,1,0
50,Oxford,598,0,0,0,0,0,3,2,1,0,0
51,Perryville,4431,15,0,0,2,13,80,12,66,2,0
52,Pocomoke City,4025,3,0,1,2,0,106,15,89,2,0
53,Princess Anne,3549,29,0,5,6,18,178,46,132,0,0
54,Ridgely,1652,4,0,1,1,2,42,3,39,0,0
55,Rising Sun,2799,6,0,0,0,6,23,3,20,0,1
56,Riverdale Park,7258,22,1,0,7,14,192,19,149,24,0
57,Rock Hall,1264,2,0,0,0,2,8,2,6,0,0
58,Salisbury,33132,294,0,19,58,217,1422,207,1170,45,2
59,Seat Pleasant,4803,36,1,0,15,20,104,12,74,18,1
60,Smithsburg,2967,1,0,0,0,1,13,2,11,0,0
61,Snow Hill,2029,5,0,0,1,4,19,3,16,0,0
62,St. Michaels,1025,6,0,0,1,5,17,3,13,1,0
63,Sykesville,3959,33,0,1,0,32,24,4,16,4,0
64,Takoma Park,17893,71,0,5,30,36,409,50,333,26,0
65,Taneytown,6824,13,0,0,0,13,64,5,59,0,0
66,Thurmont,6824,15,0,0,2,13,42,5,37,0,0
67,University Park,2651,0,0,0,0,0,31,2,20,9,0
68,Upper Marlboro,675,0,0,0,0,0,14,1,13,0,0
69,Westminster,18664,68,0,9,13,46,575,66,493,16,0
